README Summary for Data Dictionary V1.2					
"- In 'data_files' column: '*' implies all files in that data set category from Mazumder, Pond, and Crandall Labs."					
					
Summary of V1.2 Changes in Property Definition List:					
Term	Action 	Affected Datasets 			
organism_name	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
infraspecific_name	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
lineage	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
assembled_genome_acc	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
genome_assembly_id	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
taxonomy_id	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
bco_id	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
schema_version	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
analysis_platform	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
analysis_platform_object_id	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
assembly_file_source	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
genomic_section	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
num_chromosomes	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
num_genes	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
