#BioSample	Isolate
SAMN33578727	PDT001653942.1
SAMN22365120	PDT001167829.1
SAMN21218874	PDT001146485.1
SAMN16357358	PDT000965969.1
SAMN16357360	PDT000973536.1
SAMN16357540	PDT001078305.1
SAMN16357539	PDT001078306.1
SAMN16357542	PDT001078309.1
SAMN16357537	PDT001078310.1
SAMN07312411	PDT000246998.2
SAMN10163240	PDT000410606.2
SAMN11056441	PDT000641124.2
SAMN13450437	PDT000914530.1
SAMN13450419	PDT000914533.1
SAMN16357284	PDT000939900.1
SAMN06173360	PDT000222153.3
SAMN06173351	PDT000222209.3
SAMN21402691	PDT001147266.1
SAMN03255437	PDT000077172.2
SAMN20888890	PDT001132981.2
SAMN03996255	PDT000103802.3
SAMN04875527	PDT000202861.3
SAMN10163229	PDT000410614.2
SAMN03996257	PDT000103803.2
SAMN03996254	PDT000291303.1
SAMN03996322	PDT000291304.1
SAMN03996324	PDT000291305.1
SAMN03996326	PDT000291306.1
SAMN11056382	PDT000594171.1
SAMN13450444	PDT000914790.2
SAMN04875546	PDT000198591.3
SAMN04875547	PDT000198592.3
SAMN07312428	PDT000247002.2
SAMN07312429	PDT000256307.2
SAMN07312430	PDT000256273.2
SAMN11056384	PDT000596388.2
SAMN04875591	PDT000221674.1
SAMN20888883	PDT001129057.1
SAMN07312452	PDT000246724.1
SAMN11056465	PDT000640582.1
SAMN02934512	PDT000044245.2
SAMN16357593	PDT001078325.1
SAMN02934539	PDT000044226.2
SAMN02934536	PDT000044230.2
SAMN04875571	PDT000238963.3
SAMN06173336	PDT000294903.2
SAMN03996329	PDT000100485.2
SAMN22091643	PDT001169429.1
SAMN16357270	PDT000939013.1
SAMN11056347	PDT000596394.2
SAMN03996318	PDT000290052.1
SAMN16357356	PDT000965968.1
SAMN16357538	PDT001078308.1
SAMN20888888	PDT001132810.1
SAMN20888887	PDT001132811.1
SAMN10163241	PDT000410612.2
SAMN10163239	PDT000418338.2
SAMN11056437	PDT000641125.2
SAMN11056339	PDT001397646.1
SAMN03996271	PDT000106743.2
SAMN07312455	PDT000253698.1
SAMN13450410	PDT000914534.1
SAMN16357250	PDT000939885.1
SAMN03996334	PDT000106724.2
SAMN07312420	PDT000256271.2
SAMN10163210	PDT000418348.2
SAMN06173337	PDT000304291.2
SAMN11056425	PDT000640546.1
SAMN11056423	PDT000640547.1
SAMN11056424	PDT000721973.1
SAMN16357580	PDT001078208.1
SAMN03255438	PDT000077171.2
SAMN10163247	PDT000409984.1
SAMN03996321	PDT000106720.3
SAMN03996295	PDT000106744.3
SAMN11056383	PDT000596404.2
SAMN16357455	PDT000967401.1
SAMN16357459	PDT000967407.1
SAMN16357583	PDT001078320.1
SAMN03996337	PDT000291302.1
SAMN04875569	PDT000279255.2
SAMN04875552	PDT000198378.3
SAMN04875555	PDT000198575.3
SAMN04875553	PDT000198576.3
SAMN04875557	PDT000202868.3
SAMN04875554	PDT000202870.3
SAMN20888882	PDT001129058.1
SAMN04875541	PDT000198589.2
SAMN16357473	PDT000967876.1
SAMN11056466	PDT000640581.1
SAMN06173343	PDT000294451.1
SAMN04875589	PDT000221673.1
SAMN07312441	PDT000254968.2
SAMN04875592	PDT000221675.1
SAMN03996275	PDT000100496.2
SAMN10163233	PDT000410000.1
SAMN16357359	PDT000965966.1
SAMN16357357	PDT000965967.1
SAMN16357541	PDT001078307.1
SAMN21402698	PDT001147309.1
SAMN21218847	PDT001137237.1
SAMN11056434	PDT000641117.2
SAMN11056435	PDT000722892.2
SAMN13450426	PDT000914531.1
SAMN16357414	PDT000969390.2
SAMN22091642	PDT001171007.2
SAMN13450425	PDT000914532.1
SAMN21218844	PDT001138175.2
SAMN16357564	PDT001078342.1
SAMN16357563	PDT001078344.1
SAMN16357565	PDT001078343.1
SAMN13450483	PDT000917170.2
SAMN03996319	PDT000100488.2
SAMN06173352	PDT000222160.3
SAMN10163243	PDT000410176.1
SAMN11056422	PDT000640548.1
SAMN11056403	PDT000640549.1
SAMN11056427	PDT000640551.1
SAMN11056433	PDT000770621.1
SAMN03255435	PDT000077174.2
SAMN16357479	PDT000967047.1
SAMN07312449	PDT000253638.1
SAMN10163248	PDT000409983.1
SAMN03996325	PDT000100494.3
SAMN10163208	PDT000410618.2
SAMN16357460	PDT000967402.1
SAMN16357584	PDT001078321.1
SAMN16357572	PDT001078332.2
SAMN13450456	PDT000914529.1
SAMN16357570	PDT001078334.2
SAMN06173370	PDT000254977.3
SAMN04875539	PDT000201436.2
SAMN04875548	PDT000198590.3
SAMN04875551	PDT000198377.3
SAMN16357591	PDT001078323.1
SAMN02934519	PDT000044240.3
SAMN02934532	PDT000044233.2
SAMN13450446	PDT000914535.1
SAMN16357476	PDT000967416.1
SAMN16357478	PDT000971347.1
SAMN03996292	PDT000106732.2
SAMN11056471	PDT000760306.1
SAMN07312468	PDT000253706.1
SAMN11056451	PDT000803170.1
SAMN07312466	PDT000253647.1
SAMN11056450	PDT000640552.1
SAMN07312465	PDT000253648.1
SAMN21218864	PDT001137239.1
SAMN03255433	PDT000077248.2
SAMN03996250	PDT000106723.2
SAMN07312467	PDT000256269.1
SAMN11056378	PDT000594252.1
SAMN03996332	PDT000100486.2
SAMN10163237	PDT000418340.2
SAMN11056436	PDT001251654.2
SAMN02934514	PDT000044243.2
SAMN11056374	PDT000721763.1
SAMN16357307	PDT000939016.1
SAMN20888880	PDT001132958.2
SAMN22091641	PDT001170999.3
SAMN22365118	PDT001174648.3
SAMN05004748	PDT000302363.2
SAMN06173366	PDT000220637.2
SAMN11056338	PDT000596387.2
SAMN11056337	PDT000596389.2
SAMN04875560	PDT000198578.2
SAMN03996252	PDT000103799.2
SAMN02934540	PDT000044224.2
SAMN03996265	PDT000106741.2
SAMN07312437	PDT000246726.1
SAMN13450458	PDT000913816.1
SAMN16357235	PDT000919353.1
SAMN06173364	PDT000220625.2
SAMN02934538	PDT000044227.2
SAMN03996296	PDT000106746.2
SAMN03996283	PDT000115173.2
SAMN07312407	PDT000253697.1
SAMN04875568	PDT000279241.1
SAMN06173340	PDT000375443.1
SAMN10163207	PDT000410006.1
SAMN16357462	PDT000967861.1
SAMN11056346	PDT000594166.1
SAMN11056356	PDT000594169.1
SAMN20888892	PDT001129063.2
SAMN21218854	PDT001137138.2
SAMN03996277	PDT000290067.1
SAMN03996278	PDT000290068.1
SAMN04875535	PDT000238103.2
SAMN04875545	PDT000201439.3
SAMN03996316	PDT000106734.2
SAMN11056472	PDT000760305.1
SAMN07312418	PDT000255123.2
SAMN16357576	PDT001078335.2
SAMN10163228	PDT000410001.1
SAMN04875528	PDT000198601.2
SAMN03255431	PDT000077250.2
SAMN11056377	PDT000594172.1
SAMN03996330	PDT000291307.1
SAMN03255432	PDT000077249.2
SAMN03996335	PDT000100490.2
SAMN03996333	PDT000100489.2
SAMN03996331	PDT000100480.2
SAMN03996297	PDT000100484.2
SAMN03996267	PDT000100487.2
SAMN02700076	PDT000044229.3
SAMN22365119	PDT001171004.3
